StoreName,GroceryChain,Cycle,ZoneName,Address,City,State,Country,PostalCode,Case Count,SingleAd,DoubleAd
SAF07X-4483,Safeway,B,07X,4010 A Street,Auburn,WA,US,98002,17,3675.00,5145.00
SAF07X-0531,Safeway,B,07X,101 Auburn Way S,Auburn,WA,US,98002,19,3925.00,5495.00
FME07X-0019,Fred Meyer,A,07X,801 Auburn Way North,Auburn,WA,US,98002-4164,27,4800.00,6720.00
SAF07X-1252,Safeway,A,07X,253 High School Rd Ne,Bainbridge Island,WA,US,98110,19,3925.00,5495.00
ALB05X-6512,Albertsons,B,05X,300 S Highland Springs Ave #7,Banning,CA,US,92220,12,3000.00,4200.00
FFL05X-0312,Food 4 Less,B,05X,580 E VIRGINIA WAY,Barstow,CA,US,92311,6,2400.00,2400.00
STB05X-0101,Stater Bros.,B,05X,957 ARMORY RD,Barstow,CA,US,92311,12,3000.00,4200.00
ALB07Z-2592,Albertsons,A,07Z,2108 W Main Street,Battle Ground,WA,US,98604,12,3000.00,4200.00
SAF07Z-4313,Safeway,A,07Z,904 W Main St,Battle Ground,WA,US,98604,14,3300.00,4620.00
FME07Z-0614,Fred Meyer,A,07Z,401 Northwest 12Th Avenue,Battle Ground,WA,US,98604,27,4800.00,6720.00
FFL05X-0386,Food 4 Less,A,05X,1691 E 6th St,Beaumont,CA,US,92223,10,2700.00,3780.00
STB05X-0086,Stater Bros.,B,05X,1661 E 6th St,Beaumont,CA,US,92223,14,3300.00,4620.00
STB05X-0173,Stater Bros.,B,05X,1430 Beaumont Ave.,Beaumont,CA,US,92223,20,4050.00,5670.00
SAF07Y-1073,Safeway,C,07Y,6194 SW Murray Blvd,Beaverton,OR,US,97008,22,4300.00,6020.00
SAF07Y-2631,Safeway,C,07Y,14555 SW Teal Blvd,Beaverton,OR,US,97007,26,4700.00,6580.00
FME07Y-0482,Fred Meyer,C,07Y,15995 Southwest Walker Road,Beaverton,OR,US,97006-4944,30,5100.00,7140.00
FME07Y-0035,Fred Meyer,B,07Y,11425 SW Beaverton Hillsdale Hwy,Beaverton,OR,US,97005-3050,38,5700.00,7980.00
QFC07X-0101,Quality Food Center,B,07X,201 NE State Route 300,Belfair,WA,US,98528,9,2550.00,3570.00
SAF07X-1571,Safeway,B,07X,23961 NE State Route 3,Belfair,WA,US,98528,18,3800.00,5320.00
QFC07X-0859,Quality Food Center,B,07X,2636 Bellevue Way Ne,Bellevue,WA,US,98004,7,2400.00,2400.00
QFC07X-0822,Quality Food Center,C,07X,3550 128Th Avenue Se,Bellevue,WA,US,98006,11,2850.00,3990.00
QFC07X-0826,Quality Food Center,A,07X,15600 NE 8TH Street,Bellevue,WA,US,98008,14,3300.00,4620.00
QFC07X-0874,Quality Food Center,B,07X,1510 145Th Place Se,Bellevue,WA,US,98007,16,3550.00,4970.00
SAF07X-1444,Safeway,C,07X,15100 S.E. 38th St,Bellevue,WA,US,98006,16,3550.00,4970.00
SAF07X-0490,Safeway,A,07X,1645 140Th Avenue Ne,Bellevue,WA,US,98005,18,3800.00,5320.00
SAF07X-1600,Safeway,A,07X,300 Bellevue Way Ne,Bellevue,WA,US,98004,24,4500.00,6300.00
FME07X-0023,Fred Meyer,B,07X,2041 148TH AVE NE,Bellevue,WA,US,98007-3788,25,4600.00,6440.00
QFC07X-0808,Quality Food Center,B,07X,10116 NE 8Th Street,Bellevue,WA,US,98004,26,4700.00,6580.00
HAG07X-3460,Haggen,B,07X,2900 Woburn St,Bellingham,WA,US,98226,10,2700.00,3780.00
HAG07X-3430,Haggen,A,07X,2814 Meridian St,Bellingham,WA,US,98225,11,2850.00,3990.00
HAG07X-3439,Haggen,B,07X,1401 12th St,Bellingham,WA,US,98225,14,3300.00,4620.00
HAG07X-0043,Haggen,B,07X,210 36th St,Bellingham,WA,US,98225,16,3550.00,4970.00
SAF07X-3285,Safeway,A,07X,1275 E Sunset Dr,Bellingham,WA,US,98226,18,3800.00,5320.00
FME07X-0667,Fred Meyer,B,07X,1225 West Bakerview Road,Bellingham,WA,US,98226,33,5325.00,7455.00
FME07X-0025,Fred Meyer,B,07X,800 Lakeway Dr,Bellingham,WA,US,98229-6283,36,5550.00,7770.00
ALB07Z-2599,Albertsons,A,07Z,1800 N.E. 3rd street,Bend,OR,US,97701,15,3425.00,4795.00
ALB07Z-3553,Albertsons,B,07Z,61155 S Hwy 97,Bend,OR,US,97702,17,3675.00,5145.00
SAF07Z-0514,Safeway,B,07Z,642 NE 3rd Street,Bend,OR,US,97701,18,3800.00,5320.00
SAF07Z-1888,Safeway,A,07Z,320 SW Century Dr,Bend,OR,US,97702,27,4800.00,6720.00
FME07Z-0021,Fred Meyer,A,07Z,61535 S Hwy 97,Bend,OR,US,97702,28,4900.00,6860.00
SAF07Z-1504,Safeway,B,07Z,2650 NE Hwy 20,Bend,OR,US,97701,30,5100.00,7140.00
RAL05X-0681,Ralphs,B,05X,42150 Washington Street,BERMUDA DUNES,CA,US,92203,20,4050.00,5670.00
VON05X-2374,Vons,C,05X,42170 Big Bear Boulevard,Big Bear Lake,CA,US,92315,14,3300.00,4620.00
STB05X-0091,Stater Bros.,B,05X,42171 Big Bear Blvd,Big Bear Lake,CA,US,92315,19,3925.00,5495.00
STB05X-0061,Stater Bros.,B,05X,1045 BLOOMINGTON AVE,Bloomington,CA,US,92316,11,2850.00,3990.00
ALB05X-6587,Albertsons,A,05X,840 E HOBSONWAY,Blythe,CA,US,92225,14,3300.00,4620.00
FME07Z-0041,Fred Meyer,C,07Z,20904 Highway 410,Bonney Lake,WA,US,98390,25,4600.00,6440.00
SAF07X-1413,Safeway,A,07X,3322 132nd St S.E.,Bothell,WA,US,98012,9,2550.00,3570.00
QFC07X-0819,Quality Food Center,C,07X,18921 Bothell Way NE,Bothell,WA,US,98011,12,3000.00,4200.00
QFC07X-0850,Quality Food Center,B,07X,22833 Bothell Everett Hwy,Bothell,WA,US,98021,13,3150.00,4410.00
SAF07X-0535,Safeway,A,07X,20711 Bothell Everett Hwy,Bothell,WA,US,98012,15,3425.00,4795.00
SAF07X-1864,Safeway,C,07X,24040 Bothell Everett Hwy,Bothell,WA,US,98021,24,4500.00,6300.00
FME07X-0457,Fred Meyer,C,07X,21045 Bothell Everett Hwy,Bothell,WA,US,98021,38,5700.00,7980.00
SAF07X-1467,Safeway,C,07X,900 N Callow Ave,Bremerton,WA,US,98312,13,3150.00,4410.00
SAF07X-1524,Safeway,B,07X,1401 N.E. Mcwilliams,Bremerton,WA,US,98311,18,3800.00,5320.00
FME07X-0171,Fred Meyer,B,07X,5050 State Highway 303 Northeast,Bremerton,WA,US,98311-3687,32,5250.00,7350.00
FME07Y-0030,Fred Meyer,C,07Y,325 5th St,Brookings,OR,US,97415,30,5100.00,7140.00
SAF07X-3120,Safeway,B,07X,12725 First Ave St,Burien,WA,US,98168,10,2700.00,3780.00
SAF07X-1664,Safeway,C,07X,138 Southwest 148th Street,Burien,WA,US,98166,22,4300.00,6020.00
FME07X-0028,Fred Meyer,B,07X,14300 1st Ave S,Burien,WA,US,98168-3490,37,5625.00,7875.00
HAG07X-0015,Haggen,A,07X,757 Haggen Drive,Burlington,WA,US,98233,11,2850.00,3990.00
FME07X-0024,Fred Meyer,A,07X,920 South Burlington Boulevard,Burlington,WA,US,98233-3310,20,4050.00,5670.00
SAF07Y-4469,Safeway,B,07Y,246 West Monroe,Burns,OR,US,97720,12,3000.00,4200.00
STB05X-0071,Stater Bros.,C,05X,1155 Calimesa Blvd,Calimesa,CA,US,92320,14,3300.00,4620.00
STB05X-0205,Stater Bros.,C,05X,1004 Cherry Valley Blvd,Calimesa,CA,US,92223,18,3800.00,5320.00
SAF07Z-1287,Safeway,C,07Z,800 NE 3rd Ave,Camas,WA,US,98607,20,4050.00,5670.00
SAF07Y-2604,Safeway,B,07Y,1051 SW 1st Avenue,Canby,OR,US,97013,10,2700.00,3780.00
FME07Y-0651,Fred Meyer,B,07Y,1401 Southeast First,Canby,OR,US,97013,22,4300.00,6020.00
FFL05X-0308,Food 4 Less,A,05X,34251 Date Palm Dr,Cathedral City,CA,US,92234,9,2550.00,3570.00
STB05X-0183,Stater Bros.,A,05X,67800 Vista Chino,Cathedral City,CA,US,92234,12,3000.00,4200.00
STB05X-0127,Stater Bros.,A,05X,69255 Ramon Rd,Cathedral City,CA,US,92234,16,3550.00,4970.00
ALB07Y-0595,Albertsons,B,07Y,1360 Plaza Blvd,Central Point,OR,US,97502,18,3800.00,5320.00
SNK07Z-0381,Shop N Kart,C,07Z,505 South Tower,Centralia,WA,US,98531,7,2400.00,2400.00
SAF07Z-1495,Safeway,C,07Z,1129 Harrison Avenue,Centralia,WA,US,98531,34,5400.00,7560.00
SAF07Z-3525,Safeway,A,07Z,1100 S Market Blvd,Chehalis,WA,US,98532,29,5000.00,7000.00
STB05X-0052,Stater Bros.,A,05X,4721 Riverside Drive,Chino,CA,US,91710,15,3425.00,4795.00
ALB05X-6524,Albertsons,C,05X,12013 Central Ave,Chino,CA,US,91710,16,3550.00,4970.00
STB05X-0209,Stater Bros.,B,05X,8373 Pine Ave,Chino,CA,US,91708,18,3800.00,5320.00
STB05X-0184,Stater Bros.,B,05X,6989 Schaefer Ave.,Chino,CA,US,91710,26,4700.00,6580.00
ALB05X-6515,Albertsons,A,05X,3255 Grand Ave,Chino Hills,CA,US,91709,12,3000.00,4200.00
STB05X-0169,Stater Bros.,A,05X,14250 Chino Hills Pkwy.,Chino Hills,CA,US,91709,14,3300.00,4620.00
ALB05X-6592,Albertsons,A,05X,15970 Los Serranos Country Club Dr,Chino Hills,CA,US,91709,20,4050.00,5670.00
FME07Y-0063,Fred Meyer,B,07Y,16301 SE 82nd Dr,Clackamas,OR,US,97015-9521,27,4800.00,6720.00
SAF07Z-1231,Safeway,B,07Z,12032 SE Sunnyside Rd,Clackamas,OR,US,97015,30,5100.00,7140.00
STB05X-0049,Stater Bros.,A,05X,1055 W Foothill Blvd,Claremont,CA,US,91711,13,3150.00,4410.00
VON05X-2155,Vons,B,05X,550 East Baseline Road,Claremont,CA,US,91711,13,3150.00,4410.00
SAF07Y-4318,Safeway,A,07Y,401 E Columbia River Hwy,Clatskanie,OR,US,97016,7,2400.00,2400.00
FFL05X-0517,Food 4 Less,B,05X,49241 Grapefruit Blvd,Coachella,CA,US,92236,19,3925.00,5495.00
FFL05X-0786,Food 4 Less,B,05X,1150 N Pepper Ave,Colton,CA,US,92324,11,2850.00,3990.00
